Entity,Code,Year,Renewables - % electricity,Continent
Afghanistan,AFG,2000,64.583336,Asia
Afghanistan,AFG,2010,85.22727,Asia
Afghanistan,AFG,2020,85.0,Asia
Albania,ALB,2000,96.19451,Europe
Albania,ALB,2010,100.0,Europe
Albania,ALB,2020,100.0,Europe
Algeria,DZA,2000,0.19685039,Africa
Algeria,DZA,2010,0.37174723,Africa
Algeria,DZA,2020,0.9214845,Africa
Angola,AGO,2000,63.194443,Africa
Angola,AGO,2010,67.948715,Africa
Angola,AGO,2020,75.60976,Africa
Antigua and Barbuda,ATG,2000,0.0,North America
Antigua and Barbuda,ATG,2010,0.0,North America
Antigua and Barbuda,ATG,2020,5.714286,North America
Argentina,ARG,2000,32.59159,South America
Argentina,ARG,2010,27.595238,South America
Argentina,ARG,2020,25.318031,South America
Armenia,ARM,2000,21.626297,Asia
Armenia,ARM,2010,40.51037,Asia
Armenia,ARM,2020,25.13089,Asia
Australia,AUS,2000,8.089287,Oceania
Australia,AUS,2010,8.829741,Oceania
Australia,AUS,2020,24.236483,Oceania
Austria,AUT,2000,72.83702,Europe
Austria,AUT,2010,66.337364,Europe
Austria,AUT,2020,80.27231,Europe
Azerbaijan,AZE,2000,8.137045,Asia
Azerbaijan,AZE,2010,18.264595,Asia
Azerbaijan,AZE,2020,5.1262136,Asia
Bahamas,BHS,2000,0.0,North America
Bahamas,BHS,2010,0.0,North America
Bahamas,BHS,2020,0.0,North America
Bahrain,BHR,2000,0.0,Asia
Bahrain,BHR,2010,0.0,Asia
Bahrain,BHR,2020,0.029967038,Asia
Bangladesh,BGD,2000,5.8971143,Asia
Bangladesh,BGD,2010,2.0313265,Asia
Bangladesh,BGD,2020,1.5112162,Asia
Barbados,BRB,2000,0.0,North America
Barbados,BRB,2010,0.0,North America
Barbados,BRB,2020,6.603774,North America
Belarus,BLR,2000,0.11494253,Europe
Belarus,BLR,2010,0.4011461,Europe
Belarus,BLR,2020,3.502854,Europe
Belgium,BEL,2000,1.2682691,Europe
Belgium,BEL,2010,7.031502,Europe
Belgium,BEL,2020,26.563208,Europe
Belize,BLZ,2000,69.230774,North America
Belize,BLZ,2010,88.09524,North America
Belize,BLZ,2020,82.14286,North America
Benin,BEN,2000,0.0,Africa
Benin,BEN,2010,0.0,Africa
Benin,BEN,2020,1.010101,Africa
Bhutan,BTN,2000,100.0,Asia
Bhutan,BTN,2010,100.0,Asia
Bhutan,BTN,2020,100.0,Asia
Bolivia,BOL,2000,51.54639,South America
Bolivia,BOL,2010,33.68421,South America
Bolivia,BOL,2020,35.843372,South America
Bosnia and Herzegovina,BIH,2000,48.801533,Europe
Bosnia and Herzegovina,BIH,2010,47.430595,Europe
Bosnia and Herzegovina,BIH,2020,29.184036,Europe
Botswana,BWA,2000,0.0,Africa
Botswana,BWA,2010,0.0,Africa
Botswana,BWA,2020,0.4587156,Africa
Brazil,BRA,2000,89.49073,South America
Brazil,BRA,2010,84.80225,South America
Brazil,BRA,2020,83.16687,South America
Brunei,BRN,2000,0.0,Asia
Brunei,BRN,2010,0.0,Asia
Brunei,BRN,2020,0.0,Asia
Bulgaria,BGR,2000,6.4794283,Europe
Bulgaria,BGR,2010,12.540823,Europe
Bulgaria,BGR,2020,18.609865,Europe
Burkina Faso,BFA,2000,25.641027,Africa
Burkina Faso,BFA,2010,22.413794,Africa
Burkina Faso,BFA,2020,28.378378,Africa
Burundi,BDI,2000,100.0,Africa
Burundi,BDI,2010,87.5,Africa
Burundi,BDI,2020,72.72727,Africa
Cambodia,KHM,2000,15.151515,Asia
Cambodia,KHM,2010,4.9504952,Asia
Cambodia,KHM,2020,49.554565,Asia
Cameroon,CMR,2000,98.840576,Africa
Cameroon,CMR,2010,73.037544,Africa
Cameroon,CMR,2020,61.0,Africa
Canada,CAN,2000,60.607464,North America
Canada,CAN,2010,61.062878,North America
Canada,CAN,2020,66.7534,North America
Cape Verde,CPV,2000,6.6666665,Africa
Cape Verde,CPV,2010,0.0,Africa
Cape Verde,CPV,2020,16.666668,Africa
Central African Republic,CAF,2000,80.0,Africa
Central African Republic,CAF,2010,81.25,Africa
Central African Republic,CAF,2020,100.0,Africa
Chad,TCD,2000,0.0,Africa
Chad,TCD,2010,0.0,Africa
Chad,TCD,2020,5.714286,Africa
Chile,CHL,2000,47.506424,South America
Chile,CHL,2010,36.98936,South America
Chile,CHL,2020,43.807076,South America
China,CHN,2000,16.639128,Asia
China,CHN,2010,18.691467,Asia
China,CHN,2020,28.08742,Asia
Colombia,COL,2000,75.35622,South America
Colombia,COL,2010,70.51303,South America
Colombia,COL,2020,65.11539,South America
Comoros,COM,2000,0.0,Africa
Comoros,COM,2010,0.0,Africa
Comoros,COM,2020,0.0,Africa
Costa Rica,CRI,2000,99.12537,North America
Costa Rica,CRI,2010,93.27024,North America
Costa Rica,CRI,2020,99.8295,North America
Cote d'Ivoire,CIV,2000,36.458332,Africa
Cote d'Ivoire,CIV,2010,28.067228,Africa
Cote d'Ivoire,CIV,2020,30.550621,Africa
Croatia,HRV,2000,57.537914,Europe
Croatia,HRV,2010,62.880325,Europe
Croatia,HRV,2020,64.625854,Europe
Cuba,CUB,2000,6.852961,North America
Cuba,CUB,2010,3.2758622,North America
Cuba,CUB,2020,4.8293967,North America
Cyprus,CYP,2000,0.0,Europe
Cyprus,CYP,2010,1.500938,Europe
Cyprus,CYP,2020,12.371135,Europe
Czechia,CZE,2000,3.127572,Europe
Czechia,CZE,2010,6.934992,Europe
Czechia,CZE,2020,12.908864,Europe
Democratic Republic of Congo,COD,2000,100.0,Africa
Democratic Republic of Congo,COD,2010,98.85058,Africa
Democratic Republic of Congo,COD,2020,99.91639,Africa
Denmark,DNK,2000,15.536961,Europe
Denmark,DNK,2010,32.07742,Europe
Denmark,DNK,2020,82.050385,Europe
Djibouti,DJI,2000,0.0,Africa
Djibouti,DJI,2010,0.0,Africa
Djibouti,DJI,2020,0.0,Africa
Dominica,DMA,2000,37.5,North America
Dominica,DMA,2010,14.285714,North America
Dominica,DMA,2020,25.0,North America
Dominican Republic,DOM,2000,6.9946194,North America
Dominican Republic,DOM,2010,10.757781,North America
Dominican Republic,DOM,2020,18.392859,North America
Ecuador,ECU,2000,71.50997,South America
Ecuador,ECU,2010,44.129765,South America
Ecuador,ECU,2020,79.64206,South America
Egypt,EGY,2000,19.44899,Africa
Egypt,EGY,2010,9.9633045,Africa
Egypt,EGY,2020,12.3766365,Africa
El Salvador,SLV,2000,61.725067,North America
El Salvador,SLV,2010,64.99163,North America
El Salvador,SLV,2020,84.518166,North America
Equatorial Guinea,GNQ,2000,20.0,Africa
Equatorial Guinea,GNQ,2010,13.636364,Africa
Equatorial Guinea,GNQ,2020,34.751774,Africa
Eritrea,ERI,2000,0.0,Africa
Eritrea,ERI,2010,0.0,Africa
Eritrea,ERI,2020,2.7027028,Africa
Estonia,EST,2000,0.11750881,Europe
Estonia,EST,2010,8.095605,Europe
Estonia,EST,2020,48.848686,Europe
Eswatini,SWZ,2000,98.48485,Africa
Eswatini,SWZ,2010,97.297295,Africa
Eswatini,SWZ,2020,92.452835,Africa
Ethiopia,ETH,2000,98.81657,Africa
Ethiopia,ETH,2010,99.00199,Africa
Ethiopia,ETH,2020,99.93683,Africa
Fiji,FJI,2000,72.00001,Oceania
Fiji,FJI,2010,52.272728,Oceania
Fiji,FJI,2020,60.784313,Oceania
